Participants,Group,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
J2-01,A,90,286.9693,571.8293086,5718,19.03633491,42.70504647,986.63063,376.1629976,74.55789266,0.133263379
J2-02,B,80,320.778173,933.3477945,4909,15.29318988,84.73529192,1440.034722,417.2389133,127.0519473,0.165779694
J1-01,C,50,311.887596,901.9294488,5301,16.63488762,74.09650385,1245.906096,390.5851921,119.6474479,0.148660942
J2-03,A,90,175.149167,1212.820786,3068,17.14549559,99.4525068,1122.599216,457.7821219,90.98239435,0.139504563
J2-04,A,75,173.400167,906.6066606,3174,17.68335862,71.43550218,868.0696977,418.5574121,73.77547523,0.157529931
J2-05,B,65,492.379923,970.1589015,8360,17.98653539,75.96689883,1027.379677,453.2628261,190.8974106,0.167147628
J2-06,B,95,372.512386,1014.892761,5199,13.99921737,98.1553824,1200.780579,473.8767417,163.2494214,0.151981531
J2-07,B,55,232.183895,1071.857859,3872,16.29778672,89.5004344,1129.808833,428.4596171,117.0474349,0.147727273
J2-08,B,75,203.676385,849.2755356,3694,17.47589532,69.58378719,841.4564754,452.0763899,77.71982693,0.153762859
J2-09,B,70,348.621489,1167.481702,4878,14.54425072,111.6420826,1475.574464,419.1234755,171.7146436,0.13899139
J3-01,C,85,280.633736,1251.483839,4386,14.74674207,114.8675903,854.6870772,420.8443977,178.5280955,0.150934793
J3-02,C,75,320.064847,811.1911018,6763,20.11200258,57.6323191,755.0284763,379.1106966,119.3757303,0.154983733
J3-03,A,90,185.010402,1064.377451,2803,15.19486926,95.97069268,1010.196516,428.6934646,99.96511096,0.143468951
J3-05,A,90,223.726795,470.3520472,4830,20.66115702,32.81356834,658.708585,313.9756387,46.81843528,0.161076605
J3-06,A,90,223.726795,470.3520472,4830,20.66115702,32.81356834,658.708585,313.9756387,46.81843528,0.161076605
J3-08,A,95,167.586,1026.913147,3268,18.59087603,77.11213554,808.5944595,448.5313818,89.13320607,0.138310894
J3-09,C,45,221.010494,935.2040058,4118,17.9761057,72.36729979,939.9957447,447.2155304,96.73573174,0.163671685
J3-10,B,45,219.821501,813.8075664,3970,17.5274988,64.90564054,1130.763017,396.6789318,83.92271985,0.161190118
J3-11,B,85,235.571989,951.1760275,3103,12.84655923,97.28173353,944.8391397,466.0848198,97.26384799,0.138620245
J3-12,B,70,194.717093,853.2535956,3862,19.07576572,63.12000026,1037.382282,429.4732737,90.62156111,0.14914552
J3-13,B,60,280.140201,900.8314963,5268,18.26264952,69.41333231,1080.889449,392.5342782,109.2804667,0.148063781
J3-14,C,80,251.515526,932.7698374,4658,17.61079526,72.75536351,1076.185858,449.0628015,107.863867,0.149420352
